zip,primary_city,state,county
90001,Los Angeles,CA,Los Angeles County
90002,Los Angeles,CA,Los Angeles County
90003,Los Angeles,CA,Los Angeles County
90004,Los Angeles,CA,Los Angeles County
90005,Los Angeles,CA,Los Angeles County
90006,Los Angeles,CA,Los Angeles County
90007,Los Angeles,CA,Los Angeles County
90008,Los Angeles,CA,Los Angeles County
90009,Los Angeles,CA,Los Angeles County
90010,Los Angeles,CA,Los Angeles County
90011,Los Angeles,CA,Los Angeles County
90012,Los Angeles,CA,Los Angeles County
90013,Los Angeles,CA,Los Angeles County
90014,Los Angeles,CA,Los Angeles County
90015,Los Angeles,CA,Los Angeles County
90016,Los Angeles,CA,Los Angeles County
90017,Los Angeles,CA,Los Angeles County
90018,Los Angeles,CA,Los Angeles County
90019,Los Angeles,CA,Los Angeles County
90020,Los Angeles,CA,Los Angeles County
90021,Los Angeles,CA,Los Angeles County
90022,Los Angeles,CA,Los Angeles County
90023,Los Angeles,CA,Los Angeles County
90024,Los Angeles,CA,Los Angeles County
90025,Los Angeles,CA,Los Angeles County
90026,Los Angeles,CA,Los Angeles County
90027,Los Angeles,CA,Los Angeles County
90028,Los Angeles,CA,Los Angeles County
90029,Los Angeles,CA,Los Angeles County
90030,Los Angeles,CA,Los Angeles County
90031,Los Angeles,CA,Los Angeles County
90032,Los Angeles,CA,Los Angeles County
90033,Los Angeles,CA,Los Angeles County
90034,Los Angeles,CA,Los Angeles County
90035,Los Angeles,CA,Los Angeles County
90036,Los Angeles,CA,Los Angeles County
90037,Los Angeles,CA,Los Angeles County
90038,Los Angeles,CA,Los Angeles County
90039,Los Angeles,CA,Los Angeles County
90040,Los Angeles,CA,Los Angeles County
90041,Los Angeles,CA,Los Angeles County
90042,Los Angeles,CA,Los Angeles County
90043,Los Angeles,CA,Los Angeles County
90044,Los Angeles,CA,Los Angeles County
90045,Los Angeles,CA,Los Angeles County
90046,Los Angeles,CA,Los Angeles County
90047,Los Angeles,CA,Los Angeles County
90048,Los Angeles,CA,Los Angeles County
90049,Los Angeles,CA,Los Angeles County
90050,Los Angeles,CA,Los Angeles County
90051,Los Angeles,CA,Los Angeles County
90052,Los Angeles,CA,Los Angeles County
90053,Los Angeles,CA,Los Angeles County
90054,Los Angeles,CA,Los Angeles County
90055,Los Angeles,CA,Los Angeles County
90056,Los Angeles,CA,Los Angeles County
90057,Los Angeles,CA,Los Angeles County
90058,Los Angeles,CA,Los Angeles County
90059,Los Angeles,CA,Los Angeles County
90060,Los Angeles,CA,Los Angeles County
90061,Los Angeles,CA,Los Angeles County
90062,Los Angeles,CA,Los Angeles County
90063,Los Angeles,CA,Los Angeles County
90064,Los Angeles,CA,Los Angeles County
