Year,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
2015,90018,2010,Battery Electric,OTHER/UNK,Heavy,1
2015,90031,2018,Battery Electric,OTHER/UNK,Heavy,1
2015,90212,2011,Battery Electric,OTHER/UNK,Heavy,1
2015,90247,2009,Battery Electric,OTHER/UNK,Heavy,5
2015,90247,<2008,Battery Electric,NEWFLYER,Heavy,16
2015,90249,2009,Battery Electric,NEWFLYER,Heavy,13
2015,90503,2009,Battery Electric,OTHER/UNK,Heavy,10
2015,90640,2009,Battery Electric,NEWFLYER,Heavy,17
2015,90640,<2008,Battery Electric,OTHER/UNK,Heavy,5
2015,90650,2009,Battery Electric,OTHER/UNK,Heavy,6
2015,90650,<2008,Battery Electric,OTHER/UNK,Heavy,1
2015,90701,2019,Battery Electric,OTHER/UNK,Heavy,1
2015,90706,2018,Battery Electric,OTHER/UNK,Heavy,2
2015,90813,<2008,Battery Electric,NEWFLYER,Heavy,48
2015,91732,2018,Battery Electric,OTHER/UNK,Heavy,2
2015,91789,<2008,Battery Electric,OTHER/UNK,Heavy,1
2015,92223,<2008,Battery Electric,OTHER/UNK,Heavy,1
2015,92308,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,92335,2018,Battery Electric,OTHER/UNK,Heavy,6
2015,92356,2019,Battery Electric,OTHER/UNK,Heavy,1
2015,92617,2018,Battery Electric,OTHER/UNK,Heavy,10
2015,93103,<2008,Battery Electric,OTHER/UNK,Heavy,5
2015,93117,2019,Battery Electric,OTHER/UNK,Heavy,5
2015,93203,2019,Battery Electric,OTHER/UNK,Heavy,3
2015,93221,2019,Battery Electric,OTHER/UNK,Heavy,4
2015,93291,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,93517,2018,Battery Electric,OTHER/UNK,Heavy,1
2015,93534,2019,Battery Electric,OTHER/UNK,Heavy,1
2015,93611,2019,Battery Electric,OTHER/UNK,Heavy,3
2015,93619,2011,Battery Electric,OTHER/UNK,Heavy,1
2015,93625,2018,Battery Electric,OTHER/UNK,Heavy,1
2015,93625,2019,Battery Electric,OTHER/UNK,Heavy,1
2015,93657,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,93706,2009,Battery Electric,OTHER/UNK,Heavy,1
2015,94086,2019,Battery Electric,OTHER/UNK,Heavy,4
2015,94124,2014,Battery Electric,NEWFLYER,Heavy,59
2015,94124,2018,Battery Electric,NEW FLYER,Heavy,139
2015,94124,<2008,Battery Electric,NEWFLYER,Heavy,32
2015,94142,2014,Battery Electric,OTHER/UNK,Heavy,1
2015,94538,2019,Battery Electric,OTHER/UNK,Heavy,10
2015,94565,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,94589,2019,Battery Electric,OTHER/UNK,Heavy,5
2015,94603,<2008,Battery Electric,OTHER/UNK,Heavy,1
2015,94609,2010,Battery Electric,OTHER/UNK,Heavy,1
2015,94702,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,94710,2019,Battery Electric,OTHER/UNK,Heavy,6
2015,94952,<2008,Battery Electric,OTHER/UNK,Heavy,1
2015,95035,2019,Battery Electric,OTHER/UNK,Heavy,4
2015,95112,2019,Battery Electric,OTHER/UNK,Heavy,1
2015,95122,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,95215,2019,Battery Electric,OTHER/UNK,Heavy,1
2015,95249,2019,Battery Electric,OTHER/UNK,Heavy,3
2015,95310,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,95407,2012,Battery Electric,OTHER/UNK,Heavy,1
2015,95448,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,95476,2019,Battery Electric,OTHER/UNK,Heavy,3
2015,95519,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,95652,2019,Battery Electric,OTHER/UNK,Heavy,1
2015,95660,2018,Battery Electric,OTHER/UNK,Heavy,1
2015,95660,2019,Battery Electric,OTHER/UNK,Heavy,4
2015,95672,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,95684,2019,Battery Electric,OTHER/UNK,Heavy,1
2015,95837,2019,Battery Electric,OTHER/UNK,Heavy,5
2015,95912,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,95948,2019,Battery Electric,OTHER/UNK,Heavy,3
2015,96001,2019,Battery Electric,OTHER/UNK,Heavy,1
2015,96003,2018,Battery Electric,OTHER/UNK,Heavy,1
2015,96003,2019,Battery Electric,OTHER/UNK,Heavy,2
2015,98109,2019,Battery Electric,OTHER/UNK,Heavy,2
2016,90000,<2007,Battery Electric,OTHER/UNK,Heavy,4
2016,90012,2012,Battery Electric,OTHER/UNK,Heavy,1
2016,90012,2016,Battery Electric,OTHER/UNK,Heavy,4
2016,90012,2019,Battery Electric,OTHER/UNK,Heavy,8
2016,90012,<2007,Battery Electric,OTHER/UNK,Heavy,8
2016,90012,<2007,Battery Electric,Unk,Heavy,17
2016,90012,Unk,Battery Electric,OTHER/UNK,Heavy,1
2016,90015,2017,Battery Electric,OTHER/UNK,Heavy,3
2016,90017,2016,Battery Electric,OTHER/UNK,Heavy,3
2016,90024,2016,Battery Electric,OTHER/UNK,Heavy,2
2016,90024,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,90031,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,90031,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,90032,<2007,Battery Electric,OTHER/UNK,Heavy,8
2016,90043,2016,Battery Electric,OTHER/UNK,Heavy,1
2016,90045,2016,Battery Electric,FORD,Heavy,12
2016,90058,2015,Battery Electric,OTHER/UNK,Heavy,3
2016,90095,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,90220,2017,Battery Electric,OTHER/UNK,Heavy,2
2016,90221,2019,Battery Electric,OTHER/UNK,Heavy,2
2016,90241,2010,Battery Electric,OTHER/UNK,Heavy,1
2016,90250,2018,Battery Electric,OTHER/UNK,Heavy,3
2016,90262,2016,Battery Electric,OTHER/UNK,Heavy,2
2016,90301,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,90404,2009,Battery Electric,OTHER/UNK,Heavy,1
2016,90501,2010,Battery Electric,OTHER/UNK,Heavy,2
2016,90503,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,90640,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,90701,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,90704,2017,Battery Electric,OTHER/UNK,Heavy,2
2016,90706,2018,Battery Electric,OTHER/UNK,Heavy,2
2016,90714,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,90744,2012,Battery Electric,OTHER/UNK,Heavy,2
2016,90744,2013,Battery Electric,OTHER/UNK,Heavy,1
2016,90745,2017,Battery Electric,OTHER/UNK,Heavy,1
2016,90745,2019,Battery Electric,OTHER/UNK,Heavy,1
2016,90808,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,90810,2010,Battery Electric,OTHER/UNK,Heavy,1
2016,90810,2018,Battery Electric,OTHER/UNK,Heavy,1
2016,90813,2016,Battery Electric,OTHER/UNK,Heavy,10
2016,91326,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,91330,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,91344,<2007,Battery Electric,OTHER/UNK,Heavy,1
2016,91362,2019,Battery Electric,OTHER/UNK,Heavy,3
2016,91405,2014,Battery Electric,Unk,Heavy,42
2016,91405,2016,Battery Electric,OTHER/UNK,Heavy,1
2016,91405,<2007,Battery Electric,OTHER/UNK,Heavy,6
2016,91730,2008,Battery Electric,OTHER/UNK,Heavy,1
