DataYear,County,Fuel,MakeName,Model,Class,BodyStyle,VehicleType,Number of Vehicles
2022,Alameda,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,18
2022,Alameda,Electric,BYD,Electric Truck,8,Tractor Truck,Truck,2
2022,Alameda,Electric,BYD,Electric Truck,"6, 7, 8",Straight Truck,Truck,1
2022,Alameda,Electric,BYD,Transit Bus 40F,8,Transit Bus,Bus,1
2022,Alameda,Electric,Greenpower Motor,Evc210,4,Commercial / Shuttle Bus / Coach,Bus,1
2022,Alameda,Electric,Greenpower Motor,Evc210,7,Commercial / Shuttle Bus / Coach,Bus,1
2022,Alameda,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,2
2022,Alameda,Electric,New Flyer,Xcelsior,8,Transit Bus,Bus,5
2022,Alameda,Electric,Orange Ev,Terminal Tractor,8,Terminal Tractor,Truck,2
2022,Alameda,Electric,Volvo,Vnr,8,Tractor Truck,Truck,1
2022,Alameda,Electric,Xos,Sa01,6,Step Van,Delivery Van,5
2022,Alameda,Hydrogen,Gillig,Transit Bus,6,Transit Bus,Bus,12
2022,Alameda,Hydrogen,New Flyer,Xcelsior,8,Transit Bus,Bus,29
2022,Alpine,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,1
2022,Amador,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,1
2022,Butte,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,5
2022,Butte,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,3
2022,Butte,Electric,Greenpower Motor,Ev350,8,Transit Bus,Bus,6
2022,Butte,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,2
2022,Butte,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,4
2022,Butte,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,4
2022,Calaveras,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,1
2022,Calaveras,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,3
2022,Colusa,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,3
2022,Colusa,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,2
2022,Colusa,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,1
2022,Contra Costa,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,2
2022,Contra Costa,Electric,BYD,Transit Bus 40F,8,Transit Bus,Bus,1
2022,Contra Costa,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,2
2022,Contra Costa,Electric,Lion Ebus,Lion C V2,8,School Bus,Bus,1
2022,Contra Costa,Electric,Proterra,Transit Bus 40F,8,Transit Bus,Bus,2
2022,Del Norte,Electric,Freightliner,B2 106,7,Chassis & Cab,Truck,1
2022,El Dorado,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,1
2022,El Dorado,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,3
2022,El Dorado,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,1
2022,El Dorado,Electric,Lion Ebus,Lion C V2,7,School Bus,Bus,1
2022,Fresno,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,23
2022,Fresno,Electric,Blue Bird,All American / All Canadian,8,School Bus,Bus,7
2022,Fresno,Electric,BYD,Transit Bus 35F,8,Transit Bus,Bus,2
2022,Fresno,Electric,Lion Ebus,Lion C V1,7,School Bus,Bus,4
2022,Fresno,Electric,Proterra,Catalyst,8,Transit Bus,Bus,7
2022,Fresno,Electric,Proterra,Transit Bus 40F,8,Transit Bus,Bus,5
2022,Fresno,Electric,Volvo,Vnr,8,Tractor Truck,Truck,2
2022,Fresno,Electric,Xos,Sv01,6,Step Van,Delivery Van,2
2022,Humboldt,Electric,Blue Bird,All American / All Canadian,6,School Bus,Bus,4
