FID,LineDirId,StopName,RTID,Routes
0,211870,Santa Clara Transit Center,60001,22
1,212170,San Jose Airport Terminal A,60008," 60,  60"
2,212171,San Jose Airport Terminal B,60011," 60,  60"
3,212171,1st & Metro @ Metro Station,60014,60
4,211870,El Camino & Lafayette,60020," 22,  60,  59"
5,212180,1st & Mission,60021," 61,  61"
6,212210,Hedding & 11th,60028,66
7,212321,King & Mabury,60032,77
8,212321,King & Las Plumas,60033,77
9,212321,King & McKee,60034," 77, 523, 64A"
10,211870,King & Alum Rock,60035," 22,  77"
11,211870,King & San Antonio,60036," 22,  77"
12,211870,King & Hermocilla,60037," 22,  77"
13,211870,King & Virginia,60038," 22,  77"
14,211870,King & Chaucer,60039," 22,  77"
15,211870,King & Story,60040," 22,  77"
16,211870,King & Christopher,60041," 22,  77"
17,211870,King & Miami,60042," 22,  77"
18,211870,King & Havana,60043," 22,  77"
19,211870,King & Cunningham,60044," 22,  77"
20,211870,King & Waverly,60045," 22,  77"
21,211870,King & Seminole,60046," 22,  77"
22,211870,Tully & King,60047," 22,  26"
23,211870,Tully & Brahms,60048," 22,  26"
24,211870,Tully & Quimby,60049," 22,  26"
25,211870,Tully & Eastridge Way,60050," 22,  26"
26,211871,Tully & Quimby,60053," 22,  26"
27,211871,Tully & Kenesta,60054," 22,  26"
28,211871,King & Tully,60055," 22,  77"
29,211871,King & Seminole,60056," 22,  77"
30,211871,King & Cunningham,60057," 22,  77"
31,211871,King & Ocala,60058," 22,  77"
32,211871,King & Biscayne,60059," 22,  77"
33,211871,King & Everglade,60060," 22,  77"
34,211871,King & Story,60061," 22,  77"
35,211871,King & Chaucer,60062," 22,  77"
36,211871,King & Virginia,60063," 22,  77"
37,211871,King & Kammerer,60064," 22,  77"
38,211871,King & San Antonio,60065," 22,  77"
39,212320,King & Alum Rock,60066," 77, 523"
40,212320,King & McKee,60067," 77, 523"
41,212320,King & Las Plumas,60068,77
42,212211,Hedding & 11th,60075,66
43,212401,Almaden & Mountain Shadow,60088,83
44,212401,Almaden & Viewpoint,60089,83
45,212400,Almaden & Via Valiente,60098," 83,  83"
46,212400,Almaden & Shadowbrook,60099,83
47,212400,Almaden & Trinidad,60100,83
48,212400,Almaden & Trinidad,60101,83
49,212400,Almaden & Coleman,60106," 83,  64"
50,212670,Almaden Station,60107, 
51,212191,Winfield & Blossom Hill,60108,64A
52,212191,Winfield & Blossom River,60109," 83, 64A"
53,212191,Chynoweth & Winfield,60110," 83, 64A"
54,212400,Ohlone-Chynoweth Station,60111," 83,  83, 64A"
55,212190,Chynoweth & Pearl,60112," 83, 64A"
56,212190,Winfield & Blossom River,60113," 83, 64A"
57,212190,Winfield & Blossom Hill,60114,64A
58,212401,Almaden & Coleman,60115," 83,  64"
59,212200,Almaden & Camden,60120," 83,  64,  64, 64A, 64A"
60,212401,Almaden & Crown,60121,83
61,212401,Almaden & Trinidad,60122,83
62,212401,Via Valiente & Almaden,60123,83
63,212401,Via Valiente & Bret Harte,60124,83
64,212401,Via Valiente & Camden,60125,83
65,212401,Camden & Shearwater,60126,83
66,212401,Camden & Queenswood,60127,83
67,212401,Camden & Casswood,60128,83
68,212401,Camden & Harry,60129,83
69,212401,Harry & Grandwood,60130,83
70,212401,McKean & Martwood,60132,83
71,212220,Monterey & Vineyard,60146,68
72,211840,Morgan Hill Caltrain,60155,"121, 168, 168, 185"
73,212220,Monterey & Dunne,60156,68
74,212220,Monterey & 3rd,60157,68
75,212220,Main & Monterey,60158," 87,  87,  68"
76,212220,Main & Hale,60159," 87,  68"
77,212450,Main & Crest,60163,87
78,212221,Main & Monterey,60165,68
79,211961,Monterey & 3rd,60166," 68, 287"
80,212450,Main & Monterey,60209," 87,  87"
81,212450,Main & Calle Mazatan,60210,87
82,212450,Main & Grand Prix,60211,87
83,212450,Main & Carriage Lamp,60212,87
84,212450,Main & Serene,60213,87
85,212450,Live Oak High School,60214," 87,  87"
86,212450,Mission View & Mission Avenida,60215,87
87,211841,Cochrane & Sutter,60216," 87,  87, 121, 168, 185"
88,212450,Cochrane & Cochrane Circle,60217,87
89,212450,Peebles & Monterey,60218,87
90,212450,Peebles & Calle Moniz,60219,87
91,212450,Freeway Vista & Burnett,60220,87
92,212451,Mobile Home Estates,60221,87
93,212451,Cochrane & Cochrane Circle,60222,87
94,212451,Cochrane & Butterfield,60223,87
95,211840,Cochrane & Sutter,60224," 87, 121, 168, 185"
96,212451,Mission View & Cochrane,60225,87
97,212451,Half & Mission View,60226,87
98,212451,Main & Elm,60227,87
99,211961,Live Oak High School,60228," 87, 287"
100,211961,Main & Laurel,60229," 87, 287"
101,211961,Main & Carriage Lamp,60230," 87, 287"
102,211961,Main & Grand Prix,60231," 87, 287"
103,211961,Main & Calle Mazatan,60232," 87, 287"
104,211840,Gilroy Caltrain,60233," 84,  84, 168, 168"
105,212420,10th & Alexander,60236,84
106,212420,Kaiser Gilroy,60240,84
107,212420,Arroyo & Camino Arroyo,60242,84
108,212420,San Ysidro & Leavesley,60243," 84,  85"
109,212420,San Ysidro & Las Animas,60244," 84,  85"
110,212420,Saint Louise Regional Hospital,60245," 84,  84,  85,  85"
111,212421,San Ysidro & Las Animas,60246," 84,  85"
112,212421,San Ysidro & Leavesley,60247," 84,  85"
113,212430,6th & Eigelberry,60255,85
114,212670,Gilroy Caltrain,60256,"121, 121"
115,212430,6th & Church,60257,85
116,212430,6th & Hanna,60258,85
117,212430,6th & Carmel,60259,85
118,212430,6th & Miller,60260,85
119,212430,Wren & Perrelli,60265,85
120,212430,Wren & 3rd,60266," 85,  85"
121,212430,Monte Bello & Wren,60267," 85,  85"
122,212430,Monte Bello & Santa Barbara,60268," 85,  85"
123,212430,WREN & 1ST,60270, 
124,212430,Wren & Welburn,60271, 
125,212430,WREN & LAWRENCE,60272, 
126,212221,Monterey & Farrell,60278,68
127,212221,Monterey & Las Animas,60279,68
128,212431,Wren & Ramona,60282, 
129,212431,Wren & Gary,60283, 
130,212431,Wren & Welburn,60284, 
131,212431,Wren & 3rd,60286,85
132,212431,Wren & Byers,60287,85
133,212431,6th & Princevalle,60293,85
134,212431,6th & Hanna,60294,85
135,212431,6th & Rosanna,60295,85
136,212430,Gilroy Caltrain,60296," 85,  85, 185, 185"
137,212431,6th & Miller,60322,85
138,211860,El Camino and Stanford Shopping Center,60327,21
139,211870,Palo Alto Transit Center (Bay 10),60328," 22, 522"
140,211870,El Camino & Palm,60329,22
141,211870,El Camino & Galvez,60330," 22, 522"
142,211870,El Camino & Sam McDonald,60331,22
143,211870,El Camino & Churchill,60332,22
144,211870,El Camino & Serra,60333,22
145,211870,El Camino & Oxford,60334,22
146,211870,El Camino & California,60335," 22, 522"
147,211790,El Camino & Page Mill,60336," 22, 101, 102, 103"
148,211870,El Camino & Hansen,60337,22
149,211870,El Camino & Matadero,60338,22
150,211870,El Camino & Barron,60339,22
151,211870,El Camino & Los Robles,60340,22
152,211870,El Camino & Vista,60341,22
153,211870,El Camino & Maybell,60342,22
154,211870,El Camino & Arastradero,60343," 22, 522"
155,211870,El Camino & Tamarack,60344,22
156,211870,El Camino & Los Altos,60345,22
157,211870,El Camino & San Antonio,60346," 22,  40"
158,211870,El Camino & Showers,60347," 22, 522"
159,211870,El Camino & Jordan,60348,22
160,211870,El Camino & Distel,60349,22
