,highway,network,route_ref,name,public_transport,bench,operator,shelter,bus,local_ref,amenity,network:wikidata,surface,covered,lit,old_name,wikidata,operator:wikidata,wikipedia,Latitude,Longitude,Zip
0,bus_stop,Amtrak,,E San Fernando & S 5th,platform,,,,,,,,,,,,,,,37.3364901,-121.8845008,95192
1,bus_stop,Amtrak,,E San Fernando & S 5th,platform,,,,,,,,,,,,,,,37.3362544,-121.8854141,95112
2,bus_stop,MST,,San Fernando & San Pedro,,,,,,,,,,,,San Fernando & Almaden,,,,37.3331677,-121.8917845,95113
3,bus_stop,VTA,10;10,Public Bus VTA #10,platform,,Santa Clara Valley Transportation Authority,,,8.0,,Q1456861,,,,,,,,37.368459,-121.9276886,95053
4,bus_stop,VTA,181,Civic Center Light Rail Station,,yes,,yes,,,,,,,,,,,,37.3514724,-121.9022928,95110
5,bus_stop,VTA,22;17,W Santa Clara & Delmas Ave,platform,,Santa Clara Valley Transportation Authority,,,,,,,,,,,,,37.3319309,-121.8995182,95110
6,bus_stop,VTA,22;23;522,17th,,,,,,,,,,,,,,,,37.3436216,-121.8746355,95112
7,bus_stop,VTA,22;23;522,17th,,,,,,,,,,,,,,,,37.3438025,-121.8747442,95112
8,bus_stop,VTA,22;23;522,24th,,yes,,yes,,,,,,,,,,,,37.3467974,-121.867942,95116
9,bus_stop,VTA,22;23;522,24th,,yes,,yes,,,,,,,,,,,,37.3469539,-121.8680731,95116
10,bus_stop,VTA,22;522,Arena,,yes,,yes,,,,,,,,,,,,37.3318084,-121.9015344,95110
11,bus_stop,VTA,22;522,Arena,,yes,,yes,,,,,,,,,,,,37.3320856,-121.9019394,95110
12,bus_stop,VTA,22;522,Downtown San Jose,,,,,,,,,,,,Santa Clara & First,,,,37.3363415,-121.8904611,95113
13,bus_stop,VTA,22;68;168;17,W Santa Clara & Almaden Blvd,platform,,Santa Clara Valley Transportation Authority,,,,,,,,,,,,,37.3338252,-121.8957834,95113
14,bus_stop,VTA,22;68;17,W Santa Clara & Almaden Blvd,platform,,Santa Clara Valley Transportation Authority,,,,,,,,,,,,,37.3339589,-121.8949841,95110
15,bus_stop,VTA,22;68;17,W Santa Clara & S Market,platform,,Santa Clara Valley Transportation Authority,yes,,,,,,,,,,,,37.3354614,-121.8923333,95110
16,bus_stop,VTA,23;522,Alum Rock,,,,,,,,,,,,,,,,37.3616876,-121.834971,95127
17,bus_stop,VTA,522,Alum Rock,,,,,,,,,,,,,,,,37.3620683,-121.8346773,95127
18,bus_stop,VTA,522,City Hall,,,,,,,,,,,,,,,,37.3385309,-121.8854779,
19,bus_stop,VTA,522,City Hall,,,,,,,,,,,,,,,,37.3383944,-121.8861338,95112
20,bus_stop,VTA,522,Eastridge Transit Center,,,,,,,,,,,,,,,,37.3278356,-121.8109316,95148
21,bus_stop,VTA,522,Ocala,,,,,,,,,,,,,,,,37.3398681,-121.8197132,95122
22,bus_stop,VTA,522,Ocala,,,,,,,,,,,,,,,,37.3414674,-121.8203194,95127
23,bus_stop,VTA,522,Story,,,,,,,,,,,,,,,,37.3501374,-121.8269015,95127
24,bus_stop,VTA,522,Story,,,,,,,,,,,,,,,,37.3515063,-121.8270195,95127
