,ZIP,EV_Level2_EVSE_Num,EV_DC_Fast_Count,Year,Number_of_Vehicles
0,90001,1.0,1720.0,2023,72
1,90001,1.0,10.0,2023,72
2,90002,172.0,2.0,2023,78
3,90002,7.0,2.0,2023,78
4,90003,172.0,1720.0,2023,85
5,90003,7.0,10.0,2023,85
6,90004,172.0,1720.0,2023,724
7,90004,7.0,10.0,2023,724
8,90005,491.0,1720.0,2023,349
9,90005,20.0,10.0,2023,349
10,90006,346.0,1720.0,2023,167
11,90006,14.0,10.0,2023,167
12,90007,5319.0,1.0,2023,117
13,90007,214.0,1.0,2023,117
14,90008,262.0,1720.0,2023,394
15,90008,10.0,10.0,2023,394
16,90010,1136.0,1720.0,2023,210
17,90010,45.0,10.0,2023,210
18,90011,323.0,1720.0,2023,120
19,90011,13.0,10.0,2023,120
20,90012,10552.0,3465.0,2023,829
21,90012,424.0,21.0,2023,829
22,90013,1341.0,2.0,2023,265
23,90013,54.0,2.0,2023,265
24,90014,767.0,1720.0,2023,209
25,90014,31.0,10.0,2023,209
26,90015,3885.0,2456.0,2023,429
27,90015,156.0,14.0,2023,429
28,90016,650.0,705.0,2023,410
29,90016,26.0,4.0,2023,410
30,90017,1994.0,1.0,2023,456
31,90017,80.0,1.0,2023,456
32,90018,130.0,1720.0,2023,287
33,90018,5.0,10.0,2023,287
34,90019,301.0,705.0,2023,769
35,90019,12.0,4.0,2023,769
36,90020,130.0,2150.0,2023,317
37,90020,5.0,12.0,2023,317
38,90021,1014.0,4798.0,2023,112
39,90021,41.0,28.0,2023,112
40,90022,172.0,1376.0,2023,125
41,90022,7.0,8.0,2023,125
42,90024,1341.0,2.0,2023,1112
43,90024,54.0,2.0,2023,1112
44,90025,2039.0,6562.0,2023,1262
45,90025,82.0,38.0,2023,1262
46,90026,726.0,881.0,2023,858
47,90026,29.0,5.0,2023,858
48,90027,549.0,3838.0,2023,947
49,90027,22.0,22.0,2023,947
50,90028,5671.0,4200.0,2023,439
51,90028,228.0,24.0,2023,439
52,90029,565.0,1720.0,2023,222
53,90029,23.0,10.0,2023,222
54,90031,198.0,2690.0,2023,245
55,90031,8.0,16.0,2023,245
56,90032,3312.0,1376.0,2023,360
57,90032,133.0,8.0,2023,360
58,90033,4229.0,3070.0,2023,106
59,90033,170.0,18.0,2023,106
60,90034,988.0,9728.0,2023,972
61,90034,39.0,58.0,2023,972
62,90035,726.0,1720.0,2023,648
63,90035,29.0,10.0,2023,648
64,90036,1306.0,2.0,2023,899
65,90036,52.0,2.0,2023,899
66,90037,458.0,1720.0,2023,105
67,90037,18.0,10.0,2023,105
68,90038,2719.0,705.0,2023,325
69,90038,109.0,4.0,2023,325
70,90039,650.0,1720.0,2023,786
71,90039,26.0,10.0,2023,786
72,90040,697.0,12815.0,2023,100
73,90040,28.0,75.0,2023,100
74,90041,606.0,1720.0,2023,520
75,90041,24.0,10.0,2023,520
76,90042,323.0,1720.0,2023,748
77,90042,13.0,10.0,2023,748
78,90043,150.0,1720.0,2023,451
79,90043,6.0,10.0,2023,451
80,90044,301.0,705.0,2023,157
81,90044,12.0,4.0,2023,157
